id;action_identifier;income_account_identifier;name;description;proportional;amount
1;invoice auxiliary;Village;Licensed Zimbabwe Dollar Texas;transmitting;false;44927
2;revolutionary;non-volatile Michigan Credit Card Account;deposit hack Gabon;Personal Loan Account Cotton Personal Loan Account;true;44906
3;District wireless didactic;Clothing value-added bus;deposit Balboa US Dollar Iceland;protocol Rhode Island;false;47393
4;CSS Jordanian Dinar Jamaican Dollar;Beauty Moroccan Dirham;projection grow;Borders turquoise neural;false;57672
5;composite;SQL Quality Music;index Internal;hack Generic clicks-and-mortar;false;33341
6;Rubber redundant solid state;input;Via brand;hacking Rhode Island architectures;true;63194
7;Intelligent Soft Towels grey website;Malagasy Ariary Analyst;Consultant Compatible Multi-layered;hack convergence Avon;true;8197
8;Cambridgeshire;human-resource;Kwacha synergize HDD;Wooden;true;31279
9;synthesize Automated;Fresh Implementation SQL;Auto Loan Account;Borders;false;85065
10;generate;Branding Frozen;Coordinator;Cuba Intelligent Steel Chair Forint;true;54334
