id;action;note;created_on;created_by
1;ACTIVATE;Incredible Metal Sausages Directives Plastic;Ergonomic Fresh Sausages ivory;extend vortals
2;ACTIVATE;hierarchy Identity Maryland;withdrawal Grenada;Designer
3;ACTIVATE;Sports Czech Republic;Reverse-engineered Customer Concrete;back-end
4;ACTIVATE;Internal functionalities Games;enable invoice;Avon Avon
5;ACTIVATE;Cheese;array Buckinghamshire;Cotton leading-edge
6;DEACTIVATE;regional efficient back up;Ball;navigating Cheese SQL
7;DEACTIVATE;drive;Ville online;Credit Card Account Small
8;DEACTIVATE;Graphical User Interface;yellow USB Botswana;Beauty integrate
9;DEACTIVATE;Points Borders;parse copy integrated;Functionality
10;DEACTIVATE;static Rand Loti;systems parse;array
