id;product_identifier;period;time_unit;interest_payable
afe6aa2f-8478-4c37-bcf0-6753343odb5a;3fa85f64-5717-4562-b3fc-2c963f66afa1;51164;YEAR;ANNUALLY
afe6aa2f-8478-4c37-bcf0-6753343mdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa2;78573;MONTH;QUARTERLY
afe6aa2f-8478-4c37-bcf0-6753343zdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa3;22751;YEAR;MONTHLY
afe6aa2f-8478-4c37-bcf0-6753343jdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa4;77973;YEAR;MATURITY
afe6aa2f-8478-4c37-bcf0-6753343tdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa5;13114;MONTH;ANNUALLY
afe6aa2f-8478-4c37-bcf0-6753343hdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa6;42573;YEAR;MONTHLY
afe6aa2f-8478-4c37-bcf0-6753343gdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa7;98788;YEAR;QUARTERLY
afe6aa2f-8478-4c37-bcf0-6753343vdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa8;71134;YEAR;ANNUALLY
afe6aa2f-8478-4c37-bcf0-6753343sdb5a;3fa85f64-5717-4562-b3fc-2c963f66afa9;63494;MONTH;ANNUALLY
afe6aa2f-8478-4c37-bcf0-6753343wdb5a;3fa85f64-5717-4562-b3fc-2c963f66af10;47498;MONTH;ANNUALLY
